rmagx	magy	magz
-642	237	-396
-642	237	-396
-643	231	-394
-642	229	-393
-640	228	-391
-643	225	-397
-649	228	-393
-645	228	-396
-645	231	-399
-643	232	-394
-639	235	-394
-643	235	-399
-646	234	-396
-643	231	-397
-640	228	-402
-642	232	-400
-643	235	-397
-646	232	-399
-642	229	-399
-636	232	-397
-633	232	-400
-637	232	-397
-640	231	-394
-637	223	-393
-639	225	-394
-643	229	-396
-643	234	-394
-643	237	-397
-646	232	-402
-651	234	-400
-648	232	-399
-645	228	-394
-649	228	-403
-645	225	-399
-636	225	-399
-640	232	-399
-648	237	-402
-645	231	-403
-642	229	-405
-642	231	-399
-646	226	-396
-642	229	-399
-643	234	-397
