magx	magy	magz
-643	268	-348
-637	270	-363
-639	279	-363
-646	274	-373
-631	271	-357
-642	267	-364
-645	270	-351
-615	273	-345
-628	256	-363
-634	264	-357
-633	261	-363
-610	267	-354
-645	289	-352
-645	276	-360
-630	264	-363
-633	274	-348
-637	277	-360
-628	267	-348
-622	261	-363
-640	280	-373
-636	256	-340
-649	268	-357
-625	270	-367
-625	274	-358
-624	261	-349
-628	259	-378
-621	250	-349
-636	252	-360
-624	255	-376
-622	267	-361
-612	288	-358
-631	276	-370
-616	262	-354
-630	276	-348
-642	280	-361
