ccx	accy	accz
77	-3307	2860
77	-3307	2860
77	-3307	2860
76	-3307	2860
77	-3307	2860
77	-3307	2860
77	-3307	2860
77	-3307	2859
78	-3307	2860
78	-3307	2860
77	-3307	2860
77	-3306	2861
77	-3307	2861
77	-3307	2861
77	-3307	2860
77	-3307	2860
77	-3307	2860
77	-3306	2860
77	-3307	2860
77	-3307	2860
77	-3307	2860
77	-3307	2860
77	-3307	2861
77	-3307	2861
77	-3307	2860
77	-3307	2860
78	-3307	2860
77	-3307	2861
76	-3307	2860
76	-3307	2860
77	-3307	2860
77	-3307	2860
77	-3307	2861
77	-3307	2860
77	-3307	2860
77	-3307	2860
77	-3307	2860
77	-3307	2860
78	-3307	2860
77	-3307	2860
77	-3307	2860
77	-3307	2860
78	-3307	2860
78	-3306	2861
78	-3307	2860
77	-3307	2860
77	-3307	2860
77	-3307	2860
78	-3307	2860
78	-3307	2860
77	-3307	2861
78	-3307	2860
78	-3306	2860
77	-3307	2860
78	-3307	2860
78	-3307	2860
77	-3307	2860
77	-3306	2860
78	-3306	2860
78	-3306	2861
77	-3307	2861
77	-3306	2861
78	-3307	2861
78	-3307	2861
78	-3307	2861
78	-3308	2860
77	-3308	2860
78	-3307	2860
77	-3308	2859
78	-3307	2860
78	-3307	2860
78	-3307	2860
78	-3307	2860
78	-3307	2860
77	-3307	2860
77	-3307	2860
77	-3307	2860
77	-3307	2862
77	-3307	2861
78	-3307	2861
78	-3307	2860
78	-3307	2860
78	-3308	2861
77	-3307	2861
78	-3306	2860
77	-3306	2861
77	-3306	2861
77	-3306	2861
77	-3306	2860
78	-3307	2861
78	-3307	2861
77	-3306	2861
77	-3305	2861
78	-3306	2861
77	-3307	2861
77	-3308	2861
78	-3307	2861
77	-3307	2861
78	-3307	2861
78	-3308	2861
78	-3308	2860
77	-3308	2860
78	-3308	2860
78	-3308	2861
78	-3308	2860
77	-3308	2861
78	-3308	2861
77	-3307	2862
77	-3307	2861
77	-3307	2861
78	-3307	2861
78	-3307	2861
78	-3307	2861
77	-3308	2861
77	-3308	2861
78	-3308	2861
78	-3308	2861
78	-3308	2861
78	-3308	2861
78	-3307	2860
78	-3307	2860
78	-3307	2860
78	-3307	2860
77	-3308	2860
77	-3308	2861
77	-3307	2861
78	-3307	2861
78	-3307	2860
78	-3307	2861
78	-3307	2861
77	-3307	2860
77	-3306	2860
78	-3306	2860
78	-3307	2861
77	-3307	2861
78	-3307	2860
78	-3306	2861
77	-3307	2861
78	-3307	2861
78	-3307	2860
78	-3306	2861
78	-3306	2861
78	-3307	2860
77	-3306	2861
77	-3306	2861
78	-3306	2860
78	-3306	2860
78	-3307	2860
79	-3307	2861
79	-3307	2861
78	-3308	2861
78	-3307	2860
78	-3307	2860
78	-3306	2861
78	-3306	2862
78	-3306	2861
78	-3307	2861
78	-3307	2861
78	-3307	2860
77	-3307	2860
77	-3306	2861
77	-3306	2861
78	-3306	2861
77	-3307	2861
78	-3307	2861
77	-3307	2861
78	-3307	2860
78	-3306	2861
78	-3306	2861
77	-3306	2861
78	-3306	2860
78	-3306	2860
78	-3307	2860
78	-3307	2860
77	-3308	2861
78	-3307	2861
77	-3307	2861
77	-3307	2861
78	-3307	2861
77	-3306	2861
77	-3306	2861
78	-3306	2861
79	-3307	2861
76	-3308	2860
74	-3307	2860
71	-3309	2857
70	-3312	2856
71	-3310	2857
