accx	accy	accz
-121	-4397	-410
-118	-4398	-412
-118	-4398	-412
-119	-4397	-411
-122	-4397	-409
-122	-4397	-410
-121	-4397	-411
-121	-4397	-410
-121	-4398	-409
-120	-4398	-409
-121	-4397	-410
-122	-4397	-409
-123	-4397	-408
-124	-4397	-407
-123	-4397	-406
-123	-4397	-406
-124	-4397	-403
-123	-4398	-403
-122	-4398	-403
-120	-4398	-404
-120	-4399	-405
-121	-4398	-405
-122	-4398	-405
-122	-4398	-404
-119	-4398	-406
-119	-4399	-406
-120	-4399	-407
-120	-4398	-408
-120	-4398	-409
-119	-4399	-407
-119	-4399	-408
-119	-4399	-408
-120	-4399	-408
-119	-4399	-407
-119	-4398	-408
-118	-4398	-409
-117	-4399	-410
-117	-4399	-410
-118	-4398	-409
-118	-4398	-408
-118	-4399	-408
-117	-4399	-409
-116	-4399	-409
-118	-4399	-410
-121	-4398	-407
-122	-4398	-406
-123	-4398	-405
-123	-4398	-405
-121	-4398	-405
-121	-4399	-406
-121	-4399	-407
-122	-4398	-406
-121	-4398	-406
-120	-4398	-407
-120	-4399	-407
-120	-4399	-406
-118	-4399	-409
-117	-4399	-409
-118	-4400	-409
-119	-4400	-409
-118	-4400	-409
-117	-4400	-410
-118	-4399	-408
-118	-4399	-408
-118	-4398	-409
-118	-4398	-409
-120	-4398	-408
-120	-4398	-408
-119	-4399	-408
-118	-4399	-408
-119	-4399	-407
-118	-4399	-407
-116	-4399	-408
-116	-4399	-409
-116	-4399	-409
-117	-4399	-408
-120	-4399	-406
-121	-4398	-405
-122	-4397	-404
-124	-4397	-403
-125	-4398	-402
-125	-4398	-400
-125	-4398	-394
-126	-4398	-386
-123	-4399	-387
-120	-4401	-389
-119	-4401	-389
-121	-4399	-387
-122	-4400	-386
-120	-4401	-387
-119	-4401	-390
-120	-4400	-391
-121	-4399	-393
-118	-4399	-400
-118	-4399	-402
-120	-4399	-398
-122	-4398	-400
-124	-4397	-406
-125	-4397	-413
-121	-4399	-389
