accx	accy	accz
40	-61	3919
-200	-73	4099
-27	-108	4317
86	-105	4394
92	-130	4339
-286	-69	4206
42	-72	4115
-90	-66	4039
77	-23	3968
-38	-86	4079
-33	-116	4342
-100	-62	4159
-25	-130	4257
167	-85	4064
-177	-76	4136
-7	-107	4163
133	-127	4416
-71	-126	4322
-62	-150	4112
-68	-33	3923
21	-105	3915
-73	-193	4296
-278	-103	4046
-13	-165	4230
-316	-120	4112
-32	-59	4065
65	-135	4110
41	-65	4031
-268	-109	4239
28	-117	4216
285	-146	4058
-20	-108	4226
-178	-139	4178
-109	-49	4024
208	-62	4048
-147	-86	4036
-61	1	3911
-186	-76	4070
-79	-111	4300
-230	-73	4069
-90	-50	4070
22	-47	3972
46	-91	4091
-83	-96	4138
-120	-52	4038
-208	-80	4054
-245	-98	4214
-222	-92	4163
-120	-126	4128
-228	-155	4158
-115	-171	4257
-56	-114	4224
-96	-149	4221
103	-125	4145
-195	-162	4009
188	-86	3863
4	-169	4217
-227	-140	4317
-150	-91	4156
-170	-132	4313
-4	-102	4240
16	-139	4332
20	-98	4214
33	-173	4327
-105	-145	4318
0	-146	4229
34	-150	4354
-110	-136	4191
-133	-104	4164
-95	-129	4307
24	-187	4437
-177	-124	4314
-223	-64	4133
-24	-177	4240
-7	-123	4314
-176	-96	4090
3	-107	4214
79	-180	4442
-80	-163	4411
-132	-159	4444
-161	-148	4074
-225	-118	4057
-44	-47	3901
42	-119	4084
-171	-81	4192
-58	-73	4059
-186	-129	4102
-26	-98	4117
-92	-51	4132
-71	-73	4113
-66	-59	3971
-39	-82	4191
-79	-78	4140
-168	-104	4289
-93	-156	4358
-13	-111	4232
60	-126	4226
-101	-118	4214
-55	-115	4225
24	-126	4368
-49	-101	4254
-79	-87	4131
-76	-115	4222
-59	-97	4120
-238	-82	4256
354	-32	4294
-391	232	3348
306	198	3539
-38	716	3385
-435	507	3584
