accx	accy	accz
-251	-768	4512
-178	38	4262
-356	-68	3902
-370	-558	3958
-238	87	4169
-531	-60	4019
-138	-680	3894
-29	-19	5687
-264	283	3887
-13	-1189	5004
-185	85	3677
-149	42	3996
-287	-2490	4596
145	146	4271
-346	-722	4162
0	66	4165
-43	363	4295
-716	-2570	5948
334	457	3279
-398	-605	3812
-25	-29	4261
-30	-476	4270
-278	-1075	4438
117	155	4023
-99	-512	3987
-415	-91	4123
-18	-385	4404
325	614	4347
-284	-3007	5579
131	-247	4525
-384	-526	4034
1373	-708	5271
-68	-3	4118
-387	-391	4187
17	249	3524
-167	-560	4247
-568	-838	4231
210	74	4280
-109	-481	4618
-371	-964	4500
160	93	4197
-197	-460	4306
-704	-609	4431
-178	229	5373
-396	-694	3923
81	-232	5178
308	-306	4539
-279	-893	4541
-54	32	4053
337	-303	3775
119	-922	4286
-351	35	4715
-285	-614	4600
-198	-45	4315
216	80	4764
-210	-947	4630
90	-124	4249
145	125	3972
-333	-515	3032
71	23	3932
-224	-478	4396
-527	-603	4055
-18	-54	3990
-251	-599	4498
-402	-100	4380
130	-158	4346
18	-364	4689
-454	-323	4277
220	-129	4321
-511	-526	4429
-11	-166	4215
-87	-252	4118
-232	-707	4179
-37	-252	4173
-81	-499	4189
1683	-2063	5650
-247	-155	4455
173	-278	4199
