accx	accy	accz
-94	-367	4215
-61	-404	4223
-92	-390	4206
-98	-387	4200
-102	-396	4194
-119	-370	4205
-95	-369	4203
-93	-393	4202
-96	-392	4270
-159	-319	4241
-111	-390	4189
-91	-356	4201
-109	-407	4194
-107	-362	4200
-121	-366	4208
-120	-332	4211
-88	-369	4153
-107	-377	4185
-133	-351	4171
-92	-360	4209
-54	-450	4151
-120	-371	4197
-130	-361	4176
-134	-389	4198
-127	-359	4188
-109	-345	4122
-106	-399	4202
-125	-387	4184
-109	-379	4218
-113	-362	4186
-101	-364	4178
-106	-365	4202
-118	-364	4203
-121	-370	4194
-98	-361	4184
-148	-376	4191
-89	-360	4218
-103	-370	4180
-111	-382	4201
-87	-370	4198
-102	-370	4201
-112	-380	4184
-101	-386	4193
-113	-365	4197
-98	-366	4200
-121	-381	4183
-99	-379	4149
-110	-351	4182
-117	-359	4216
-71	-379	4206
-112	-376	4208
-125	-367	4200
-121	-378	4189
-101	-356	4205
-102	-383	4187
-119	-372	4187
-127	-371	4187
-108	-378	4194
-112	-358	4152
-114	-375	4186
-108	-381	4194
-102	-364	4187
-112	-361	4195
-105	-383	4192
-89	-385	4217
-116	-344	4178
-130	-365	4212
-98	-379	4185
-110	-368	4193
-118	-393	4172
-117	-384	4197
-103	-365	4195
-98	-368	4194
-119	-385	4229
-101	-380	4208
-135	-382	4202
-110	-346	4192
-116	-379	4253
-114	-381	4207
-98	-362	4218
-110	-376	4198
-112	-381	4202
-113	-365	4203
-116	-353	4216
-97	-369	4195
-102	-356	4195
-91	-379	4217
-133	-355	4217
-117	-381	4220
-103	-376	4211
-105	-378	4208
-110	-350	4175
-93	-380	4190
-103	-367	4184
-103	-374	4197
-95	-375	4188
-112	-358	4215
-105	-370	4193
-112	-383	4201
-141	-343	4191
-112	-363	4194
-90	-378	4207
-122	-374	4181
-105	-374	4204
-83	-454	4214
