accx	accy	accz
-94	-331	4177
-98	-334	4176
-97	-325	4180
-99	-329	4177
-96	-327	4176
-103	-329	4181
-90	-331	4180
-93	-329	4164
-99	-332	4183
-90	-327	4177
-91	-332	4183
-100	-325	4170
-95	-319	4176
-95	-331	4174
-99	-327	4169
-96	-334	4174
-93	-327	4171
-95	-332	4174
-96	-330	4183
-95	-334	4174
-94	-325	4179
-96	-329	4181
-95	-333	4173
-98	-329	4182
-96	-330	4173
-94	-328	4174
-99	-331	4185
-96	-325	4181
-93	-332	4177
-99	-329	4172
-92	-324	4176
-95	-323	4179
-97	-324	4176
-97	-327	4180
-93	-329	4176
-98	-332	4174
-92	-329	4174
-91	-331	4181
-98	-330	4176
-97	-328	4177
-92	-335	4178
-91	-322	4177
-99	-325	4180
-97	-328	4176
-93	-331	4182
-90	-334	4175
-94	-329	4173
-103	-326	4176
-97	-330	4183
-97	-329	4178
-91	-328	4178
-98	-327	4176
-95	-323	4177
-99	-329	4178
-98	-330	4181
-98	-326	4174
-99	-331	4174
-97	-332	4177
-96	-325	4179
-91	-333	4181
-92	-332	4179
-99	-331	4182
-92	-329	4176
-98	-330	4183
-94	-334	4177
-93	-333	4179
-101	-331	4170
-96	-331	4171
-92	-327	4176
-95	-332	4177
-96	-332	4178
-100	-329	4179
-99	-330	4180
-96	-329	4181
-98	-327	4177
-96	-326	4173
-98	-332	4174
-95	-329	4179
-93	-327	4172
-97	-327	4181
-95	-330	4182
-94	-327	4180
-96	-330	4174
-97	-333	4180
-93	-327	4175
-94	-325	4175
-94	-332	4180
-96	-329	4178
-93	-325	4180
-97	-328	4183
-96	-327	4181
-93	-324	4175
-95	-326	4168
-93	-321	4184
-100	-328	4180
-97	-334	4171
-100	-329	4181
-93	-326	4174
-95	-332	4183
-99	-331	4180
-99	-327	4175
-95	-330	4183
-92	-331	4175
-97	-333	4175
-100	-324	4177
-99	-330	4177
-92	-325	4177
-94	-334	4178
-98	-331	4180
-93	-336	4179
-94	-324	4181
-100	-330	4176
-95	-331	4185
-97	-328	4183
-97	-333	4181
-96	-331	4180
-89	-309	4121
-102	-323	4171
-159	-266	4243
-63	-350	3885
