accx	accy	accz
-93	-341	4175
-90	-337	4176
-87	-339	4183
-95	-340	4176
-95	-340	4178
-89	-345	4177
-92	-343	4176
-96	-341	4168
-95	-342	4177
-95	-344	4177
-98	-342	4173
-94	-342	4175
-90	-339	4179
-89	-340	4176
-97	-339	4177
-90	-341	4176
-92	-342	4172
-95	-340	4169
-92	-345	4166
-94	-341	4176
-96	-340	4171
-90	-342	4174
-92	-342	4174
-97	-345	4178
-93	-341	4176
-95	-336	4174
-91	-338	4175
-94	-342	4174
-92	-335	4179
-89	-340	4177
-94	-338	4175
-92	-335	4176
-96	-342	4176
-95	-340	4179
-93	-342	4174
-92	-343	4174
-88	-340	4177
-91	-345	4175
-96	-336	4172
-92	-343	4174
-92	-338	4175
-95	-341	4175
-91	-337	4173
-93	-339	4169
-95	-337	4170
-93	-338	4171
-91	-340	4174
-91	-342	4176
-91	-337	4178
-91	-341	4171
-99	-339	4171
-96	-339	4174
-92	-342	4169
-88	-337	4179
-92	-340	4173
-91	-340	4172
-94	-338	4174
-91	-342	4175
-98	-340	4181
-93	-340	4172
-94	-334	4169
-91	-339	4174
-94	-341	4181
-92	-338	4173
-87	-341	4175
-96	-338	4179
-95	-341	4176
-95	-345	4176
-90	-343	4177
-89	-344	4176
-98	-340	4171
-92	-343	4177
-94	-336	4179
-103	-301	4126
-84	-382	4257
-170	-411	4349
